49, 24
0, 23
49, 0
16, 13
16, 15
10, 8
52, 3
13, 17
21, 17
21, 28
0, 43
22, 20
7, 27
35, 20
19, 6
13, 3
27, 46
24, 16
9, 14
23, 17
5, 6
31, 17
17, 17
63, 0
17, 6
26, 38
13, 9
7, 12
51, 28
26, 21
26, 27
28, 24
24, 6
22, 19
35, 14
21, 26
27, 14
41, 27
31, 13
24, 7
8, 13
23, 6
49, 7
23, 7
24, 10
23, 13
52, 0
38, 7
9, 19
27, 18
13, 24
17, 13
24, 0
38, 31
38, 16
57, 3
37, 10
34, 14
7, 16
21, 3
17, 27
31, 23
48, 20
31, 16
43, 17
7, 17
10, 43
28, 27
23, 27
47, 7
43, 15
25, 49
48, 17
40, 21
42, 10
60, 0
7, 29
26, 31
31, 14
31, 9
27, 29
45, 10
27, 7
16, 28
38, 0
9, 31
24, 17
10, 31
16, 10
20, 24
45, 38
48, 28
20, 37
13, 45
19, 24
46, 14
52, 7
32, 19
0, 25
31, 26
56, 28
45, 17
10, 48
38, 17
40, 16
21, 20
18, 34
38, 9
35, 9
14, 41
13, 51
14, 49
14, 30
37, 17
56, 0
17, 34
69, 3
31, 0
10, 13
3, 56
20, 34
34, 0
63, 10
12, 16
24, 27
28, 20
56, 32
16, 41
70, 21
45, 7
81, 0
51, 16
7, 30
19, 38
56, 9
17, 7
30, 10
19, 30
40, 0
42, 21
26, 24
22, 24
30, 23
24, 21
15, 22
44, 12
24, 31
17, 41
28, 3
19, 34
24, 34
14, 9
26, 3
35, 21
28, 13
23, 18
21, 23
0, 16
23, 16
31, 45
13, 10
19, 55
33, 14
5, 24
24, 3
18, 16
17, 24
31, 20
34, 24
6, 24
33, 29
41, 38
31, 34
28, 9
35, 19
34, 52
12, 38
37, 20
14, 48
62, 19
63, 21
41, 23
0, 41
21, 24
44, 43
7, 51
41, 3
34, 20
42, 52
13, 23
48, 34
12, 10
28, 25
42, 6
24, 19
48, 31
38, 24
45, 15
33, 21
27, 24
25, 14
46, 33
17, 31
28, 29
13, 28
45, 28
26, 28
34, 36
36, 29
32, 35
19, 23
22, 35
35, 17
48, 10
14, 24
47, 14
20, 19
26, 42
40, 3
13, 15
30, 24
42, 37
20, 22
31, 24
43, 10
21, 16
40, 43
45, 26
27, 30
48, 29
49, 10
21, 10
24, 52
45, 23
70, 7
32, 14
28, 26
42, 24
44, 16
38, 20
28, 17
22, 46
16, 22
44, 9
15, 33
29, 13
30, 11
23, 26
59, 3
34, 3
10, 47
40, 14
23, 52
23, 28
33, 38
27, 3
31, 52
31, 21
52, 26
45, 20
10, 33
20, 28
24, 29
15, 47
70, 3
18, 28
13, 37
41, 10
47, 45
49, 36
44, 45
51, 24
30, 19
29, 31
45, 3
27, 35
30, 38
7, 31
69, 38
10, 28
72, 10
59, 14
44, 14
25, 16
34, 37
20, 3
35, 27
34, 10
52, 14
49, 17
29, 23
34, 31
35, 24
10, 34
3, 10
27, 10
34, 48
42, 7
66, 9
26, 20
41, 16
21, 34
17, 52
39, 17
58, 34
50, 28
3, 41
34, 17
14, 38
54, 46
33, 17
52, 10
26, 34
33, 37
53, 46
34, 23
37, 13
33, 30
49, 38
65, 27
7, 42
28, 7
20, 38
16, 40
27, 20
20, 45
20, 9
31, 19
34, 13
3, 20
40, 37
36, 14
17, 21
42, 32
21, 38
23, 51
33, 3
28, 31
16, 17
24, 35
22, 21
17, 26
63, 7
34, 30
7, 49
37, 21
20, 26
35, 23
38, 13
56, 6
31, 35
24, 14
14, 52
23, 38
24, 13
43, 46
48, 3
17, 20
15, 13
29, 24
38, 6
55, 20
13, 42
38, 10
55, 17
33, 36
49, 14
24, 38
56, 21
20, 27
12, 31
28, 45
48, 14
17, 38
45, 24
25, 21
3, 23
66, 13
21, 27
29, 32
45, 13
16, 49
27, 28
16, 27
44, 41
41, 15
13, 20
